DATA,PRECIPITACAO_PR,PRESSAO_ATM_PR,TEMP_AR_BULBO_SECO_PR,TEMP_ORVALHO_PR,UMIDADE_RELATIVA_AR_PR,VELOCIDADE_VENTO_PR,PRECIPITACAO_RS,PRESSAO_ATM_RS,TEMP_AR_BULBO_SECO_RS,TEMP_ORVALHO_RS,UMIDADE_RELATIVA_AR_RS,VELOCIDADE_VENTO_RS,PRECIPITACAO_SC,PRESSAO_ATM_SC,TEMP_AR_BULBO_SECO_SC,TEMP_ORVALHO_SC,UMIDADE_RELATIVA_AR_SC,VELOCIDADE_VENTO_SC
2010-09-19,3.4000000000000004,950.7429752066116,16.42754820936639,9.56060606060606,66.24242424242425,3.9884297520661156,0.4,980.510238095238,14.794166666666667,8.307361963190184,67.51656441717792,4.391309523809523,0.4,953.8458333333333,13.786875,7.633333333333334,68.68125,3.681458333333333
2010-09-20,26.0,947.5456043956043,18.361813186813187,12.858241758241757,73.12912087912088,3.1121212121212123,29.0,974.149880952381,17.47452380952381,12.183353733170133,72.82007343941248,3.6314285714285717,84.2,949.1364583333333,15.393958333333334,11.936041666666666,81.10833333333333,4.214016736401674
2010-09-21,11.0,943.5207920792079,21.842574257425742,13.888118811881188,66.70223325062035,3.1057071960297766,859.2,970.9373063170441,17.72109654350417,15.185398773006135,85.8478527607362,3.626340882002384,372.6,946.535,16.476875,14.430208333333333,88.29791666666667,3.738993710691824
2010-09-22,0.6000000000000001,941.4359523809524,23.193571428571428,13.509285714285713,61.923809523809524,2.8723809523809525,874.2,970.6461259079903,16.82421307506053,14.860245398773007,88.86993865030675,3.1772397094430995,273.8,945.5127083333333,16.32125,14.701458333333333,90.55,3.248125
2010-09-23,131.0,943.7200477326969,21.247494033412888,13.595465393794749,66.68973747016706,2.7749403341288783,354.6,973.3013480392157,15.928799019607842,14.430798004987532,91.13466334164589,2.5911764705882354,352.2,947.4327623126338,16.23576017130621,14.451820128479657,89.71092077087795,2.5103225806451612
2010-09-24,176.0,947.0497619047619,18.83738095238095,15.629047619047618,82.6452380952381,2.0149999999999997,146.6,975.2052184466019,16.041504854368934,13.081650246305419,83.76629766297663,3.0777912621359222,78.4,946.8318376068376,16.481623931623933,14.248076923076924,87.5491452991453,2.2722222222222226
2010-09-25,56.8,946.8340961098398,19.343020594965676,14.78924485125858,78.18535469107552,1.6423340961098398,2.0,975.4814064362337,16.300595947556616,12.108834355828222,78.42401960784314,2.7339690107270562,2.2,947.2004166666667,16.1375,12.475625,80.6125,2.010625
2010-09-26,375.4,946.0297423887588,17.108430913348947,15.26768149882904,89.33723653395785,2.7318501170960188,16.6,974.5624401913875,16.723923444976077,13.110467980295567,80.54846625766871,3.74377990430622,53.6,946.158125,15.872708333333332,13.651458333333332,87.225,2.544791666666667
2010-09-27,125.2,943.9886363636364,18.225252525252525,16.528535353535354,90.3459595959596,2.099242424242424,15.200000000000001,971.4701796407186,17.565269461077843,14.292269938650307,82.4760736196319,4.184550898203593,173.0,943.72125,17.020625,14.677708333333333,87.08958333333334,2.6441666666666666
2010-09-28,319.4,941.9705,18.225250000000003,16.26175,88.88,2.4105000000000003,306.2,969.1795942720764,17.86706443914081,14.480736196319018,81.42524509803921,4.358114558472554,83.8,942.1258333333334,17.01020833333333,14.520624999999999,86.04583333333333,3.1416666666666666
