id_reg,desc_reg,date,load_mwmed
S,SUL,2000-02-22 00:00:00,7280.1625
SE,SUDESTE,2000-02-22 00:00:00,26409.38333333
N,NORTE,2000-02-23 00:00:00,2439.7875
NE,NORDESTE,2000-02-23 00:00:00,5760.19166667
S,SUL,2000-02-23 00:00:00,7296.4625
SE,SUDESTE,2000-02-23 00:00:00,27100.26666667
N,NORTE,2000-02-24 00:00:00,2445.15833333
NE,NORDESTE,2000-02-24 00:00:00,5768.925
S,SUL,2000-02-24 00:00:00,7454.975
SE,SUDESTE,2000-02-24 00:00:00,27439.92916667
N,NORTE,2000-02-25 00:00:00,2467.29166667
NE,NORDESTE,2000-02-25 00:00:00,5837.14166667
S,SUL,2000-02-25 00:00:00,7519.50833333
SE,SUDESTE,2000-02-25 00:00:00,27427.14583333
N,NORTE,2000-02-26 00:00:00,2364.76666667
NE,NORDESTE,2000-02-26 00:00:00,5513.15
S,SUL,2000-02-26 00:00:00,6667.82083333
SE,SUDESTE,2000-02-26 00:00:00,24846.50833333
N,NORTE,2000-02-27 00:00:00,2281.35833333
NE,NORDESTE,2000-02-27 00:00:00,5069.6875
S,SUL,2000-02-27 00:00:00,5624.71666667
SE,SUDESTE,2000-02-27 00:00:00,22359.49166667
N,NORTE,2000-02-28 00:00:00,2457.34583333
NE,NORDESTE,2000-02-28 00:00:00,5857.8875
S,SUL,2000-02-28 00:00:00,7223.2625
SE,SUDESTE,2000-02-28 00:00:00,27038.42083333
N,NORTE,2000-02-29 00:00:00,2466.125
NE,NORDESTE,2000-02-29 00:00:00,6073.99166667
S,SUL,2000-02-29 00:00:00,7347.80416667
SE,SUDESTE,2000-02-29 00:00:00,27465.01666667
N,NORTE,2000-03-01 00:00:00,2472.54583333
NE,NORDESTE,2000-03-01 00:00:00,6052.19583333
S,SUL,2000-03-01 00:00:00,7344.59166667
SE,SUDESTE,2000-03-01 00:00:00,27163.64166667
N,NORTE,2000-03-02 00:00:00,2451.92916667
NE,NORDESTE,2000-03-02 00:00:00,6018.39166667
S,SUL,2000-03-02 00:00:00,7500.8625
SE,SUDESTE,2000-03-02 00:00:00,27254.63333333
N,NORTE,2000-03-03 00:00:00,2373.15833333
NE,NORDESTE,2000-03-03 00:00:00,6013.88333333
S,SUL,2000-03-03 00:00:00,7428.8625
SE,SUDESTE,2000-03-03 00:00:00,27022.91666667
N,NORTE,2000-03-04 00:00:00,2349.99166667
NE,NORDESTE,2000-03-04 00:00:00,5552.49166667
S,SUL,2000-03-04 00:00:00,6430.975
SE,SUDESTE,2000-03-04 00:00:00,23923.38333333
N,NORTE,2000-03-05 00:00:00,2312.58333333
NE,NORDESTE,2000-03-05 00:00:00,5107.4375
S,SUL,2000-03-05 00:00:00,5449.625
SE,SUDESTE,2000-03-05 00:00:00,21465.73333333
N,NORTE,2000-03-06 00:00:00,2328.70833333
NE,NORDESTE,2000-03-06 00:00:00,5180.6125
S,SUL,2000-03-06 00:00:00,6348.71666667
SE,SUDESTE,2000-03-06 00:00:00,22983.175
N,NORTE,2000-03-07 00:00:00,2286.57916667
NE,NORDESTE,2000-03-07 00:00:00,5142.34583333
S,SUL,2000-03-07 00:00:00,6131.35
SE,SUDESTE,2000-03-07 00:00:00,22622.49583333
N,NORTE,2000-03-08 00:00:00,2385.08333333
NE,NORDESTE,2000-03-08 00:00:00,5654.4625
S,SUL,2000-03-08 00:00:00,6789.9625
SE,SUDESTE,2000-03-08 00:00:00,24392.80416667
N,NORTE,2000-03-09 00:00:00,2440.03333333
NE,NORDESTE,2000-03-09 00:00:00,6083.47083333
S,SUL,2000-03-09 00:00:00,7020.40416667
SE,SUDESTE,2000-03-09 00:00:00,25594.61666667
N,NORTE,2000-03-10 00:00:00,2446.86666667
NE,NORDESTE,2000-03-10 00:00:00,6072.06666667
S,SUL,2000-03-10 00:00:00,7106.22083333
SE,SUDESTE,2000-03-10 00:00:00,26008.2875
N,NORTE,2000-03-11 00:00:00,2352.84583333
NE,NORDESTE,2000-03-11 00:00:00,5701.15
S,SUL,2000-03-11 00:00:00,6348.4
SE,SUDESTE,2000-03-11 00:00:00,23962.8125
N,NORTE,2000-03-12 00:00:00,2297.45416667
NE,NORDESTE,2000-03-12 00:00:00,5327.85416667
S,SUL,2000-03-12 00:00:00,5342.35833333
SE,SUDESTE,2000-03-12 00:00:00,21255.05833333
N,NORTE,2000-03-13 00:00:00,2451.68333333
NE,NORDESTE,2000-03-13 00:00:00,6034.44583333
S,SUL,2000-03-13 00:00:00,7035.9
SE,SUDESTE,2000-03-13 00:00:00,25229.15416667
N,NORTE,2000-03-14 00:00:00,2486.075
NE,NORDESTE,2000-03-14 00:00:00,6168.49166667
S,SUL,2000-03-14 00:00:00,7364.44166667
SE,SUDESTE,2000-03-14 00:00:00,26145.59583333
N,NORTE,2000-03-15 00:00:00,2482.82083333
NE,NORDESTE,2000-03-15 00:00:00,6123.15416667
S,SUL,2000-03-15 00:00:00,7451.60833333
SE,SUDESTE,2000-03-15 00:00:00,26625.92083333
N,NORTE,2000-03-16 00:00:00,2465.13333333
NE,NORDESTE,2000-03-16 00:00:00,6150.875
S,SUL,2000-03-16 00:00:00,7565.32916667
SE,SUDESTE,2000-03-16 00:00:00,27153.69166667
N,NORTE,2000-03-17 00:00:00,2457.2875
NE,NORDESTE,2000-03-17 00:00:00,6127.22916667
S,SUL,2000-03-17 00:00:00,7564.2625
SE,SUDESTE,2000-03-17 00:00:00,27362.45833333
N,NORTE,2000-03-18 00:00:00,2353.25
NE,NORDESTE,2000-03-18 00:00:00,5751.72916667
S,SUL,2000-03-18 00:00:00,6542.55416667
SE,SUDESTE,2000-03-18 00:00:00,24974.38333333
N,NORTE,2000-03-19 00:00:00,2232.45416667
NE,NORDESTE,2000-03-19 00:00:00,4485.20833333
S,SUL,2000-03-19 00:00:00,5408.80291667
SE,SUDESTE,2000-03-19 00:00:00,21824.45991625
N,NORTE,2000-03-20 00:00:00,2426.9625
NE,NORDESTE,2000-03-20 00:00:00,6095.43333333
S,SUL,2000-03-20 00:00:00,7058.7375
SE,SUDESTE,2000-03-20 00:00:00,25821.79583333
N,NORTE,2000-03-21 00:00:00,2452.73333333
NE,NORDESTE,2000-03-21 00:00:00,6106.95833333
S,SUL,2000-03-21 00:00:00,7358.02083333
SE,SUDESTE,2000-03-21 00:00:00,26486.72916667
N,NORTE,2000-03-22 00:00:00,2458.4875
NE,NORDESTE,2000-03-22 00:00:00,6188.1875
S,SUL,2000-03-22 00:00:00,7396.52083333
SE,SUDESTE,2000-03-22 00:00:00,26876.83333333
N,NORTE,2000-03-23 00:00:00,2450.17083333
NE,NORDESTE,2000-03-23 00:00:00,6109.34166667
S,SUL,2000-03-23 00:00:00,7490.64583333
SE,SUDESTE,2000-03-23 00:00:00,26948.5875
N,NORTE,2000-03-24 00:00:00,2467.14583333
NE,NORDESTE,2000-03-24 00:00:00,6209.54166667
S,SUL,2000-03-24 00:00:00,7372.3375
SE,SUDESTE,2000-03-24 00:00:00,27263.34166667
N,NORTE,2000-03-25 00:00:00,2419.56666667
NE,NORDESTE,2000-03-25 00:00:00,5804.75
S,SUL,2000-03-25 00:00:00,6409.21666667
SE,SUDESTE,2000-03-25 00:00:00,24957.34166667
N,NORTE,2000-03-26 00:00:00,2321.24583333
NE,NORDESTE,2000-03-26 00:00:00,5394.2875
S,SUL,2000-03-26 00:00:00,5376.0375
SE,SUDESTE,2000-03-26 00:00:00,22276.76666667
N,NORTE,2000-03-27 00:00:00,2464.95
NE,NORDESTE,2000-03-27 00:00:00,6087.30833333
S,SUL,2000-03-27 00:00:00,7080.49166667
SE,SUDESTE,2000-03-27 00:00:00,26927.0875
N,NORTE,2000-03-28 00:00:00,2444.37083333
NE,NORDESTE,2000-03-28 00:00:00,6145.86666667
S,SUL,2000-03-28 00:00:00,7043.05833333
SE,SUDESTE,2000-03-28 00:00:00,27614.0
N,NORTE,2000-03-29 00:00:00,2436.8
NE,NORDESTE,2000-03-29 00:00:00,6125.64583333
S,SUL,2000-03-29 00:00:00,6950.3375
SE,SUDESTE,2000-03-29 00:00:00,27257.64583333
N,NORTE,2000-03-30 00:00:00,2445.175
NE,NORDESTE,2000-03-30 00:00:00,6039.85833333
S,SUL,2000-03-30 00:00:00,7101.57916667
SE,SUDESTE,2000-03-30 00:00:00,26955.45833333
N,NORTE,2000-03-31 00:00:00,2433.06666667
NE,NORDESTE,2000-03-31 00:00:00,5983.79166667
S,SUL,2000-03-31 00:00:00,7143.63333333
SE,SUDESTE,2000-03-31 00:00:00,27245.69583333
N,NORTE,2000-04-01 00:00:00,2369.14166667
NE,NORDESTE,2000-04-01 00:00:00,5642.79166667
S,SUL,2000-04-01 00:00:00,6325.97083333
SE,SUDESTE,2000-04-01 00:00:00,24765.47083333
N,NORTE,2000-04-02 00:00:00,2305.7375
NE,NORDESTE,2000-04-02 00:00:00,5162.8
S,SUL,2000-04-02 00:00:00,5212.1
SE,SUDESTE,2000-04-02 00:00:00,21926.75416667
N,NORTE,2000-04-03 00:00:00,2434.67083333
NE,NORDESTE,2000-04-03 00:00:00,5837.18333333
S,SUL,2000-04-03 00:00:00,6825.775
SE,SUDESTE,2000-04-03 00:00:00,25865.9125
N,NORTE,2000-04-04 00:00:00,2443.97916667
NE,NORDESTE,2000-04-04 00:00:00,5995.74583333
S,SUL,2000-04-04 00:00:00,7058.24583333
SE,SUDESTE,2000-04-04 00:00:00,26119.27916667
N,NORTE,2000-04-05 00:00:00,2465.0375
NE,NORDESTE,2000-04-05 00:00:00,6050.70833333
S,SUL,2000-04-05 00:00:00,7241.30416667
SE,SUDESTE,2000-04-05 00:00:00,26393.22083333
N,NORTE,2000-04-06 00:00:00,2456.61666667
NE,NORDESTE,2000-04-06 00:00:00,6106.50416667
S,SUL,2000-04-06 00:00:00,7353.9
SE,SUDESTE,2000-04-06 00:00:00,26602.0625
N,NORTE,2000-04-07 00:00:00,2443.78333333
NE,NORDESTE,2000-04-07 00:00:00,6065.72083333
S,SUL,2000-04-07 00:00:00,7464.47916667
SE,SUDESTE,2000-04-07 00:00:00,26956.08333333
N,NORTE,2000-04-08 00:00:00,2396.60833333
NE,NORDESTE,2000-04-08 00:00:00,5685.74583333
S,SUL,2000-04-08 00:00:00,6758.08333333
SE,SUDESTE,2000-04-08 00:00:00,24775.4
N,NORTE,2000-04-09 00:00:00,2294.73333333
NE,NORDESTE,2000-04-09 00:00:00,5181.0625
S,SUL,2000-04-09 00:00:00,5727.97083333
SE,SUDESTE,2000-04-09 00:00:00,22322.10833333
N,NORTE,2000-04-10 00:00:00,2451.9375
NE,NORDESTE,2000-04-10 00:00:00,5888.84166667
S,SUL,2000-04-10 00:00:00,7432.96666667
SE,SUDESTE,2000-04-10 00:00:00,26820.40416667
N,NORTE,2000-04-11 00:00:00,2460.89166667
NE,NORDESTE,2000-04-11 00:00:00,6042.8875
S,SUL,2000-04-11 00:00:00,7535.6375
